dept,course,instructor,abbrev_instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,num_invited,num_responded
ANA,ANA301H1,Ian Taylor,Taylor I,Winter,2014,4.3,4.4,3.5,3.6,3.5,3.7,3.8,3.7,415,131
ANA,ANA301H1,Mike Wiley,Wiley M,Winter,2014,4.3,4.4,4.4,3.6,3.5,3.7,4.3,3.7,415,131
ANA,ANA300Y1,Mubarak Bidmos,Bidmos M,Summer,2014,4.4,4.6,4.2,4.2,4.3,4.1,4.4,4.3,101,38
ANA,ANA300Y1,Judith Laprade,Laprade J,Summer,2014,4.4,4.6,4.7,4.2,4.3,4.1,4.7,4.3,101,38
ANA,ANA300Y1,Hong-Shuo Sun,Sun H,Summer,2014,4.4,4.6,2.5,4.2,4.3,4.1,2.9,4.3,101,38
ANA,ANA300Y1,Barbara Ballyk,Ballyk B,Winter,2019,4.61,4.7,4.7,4.1,4.2,4.3,4.7,4.3,281,203
ANA,ANA400H1,Danielle Bentley,Bentley D,Winter,2019,4.87,4.9,4.7,4.7,4.7,4.7,4.8,4.1,15,15
ANA,ANA301H1,Danielle Bentley,Bentley D,Winter,2019,4.67,4.8,4.8,4.3,4.2,4.4,4.9,4.1,190,96
ANA,ANA411H1,Judith Laprade,Laprade J,Winter,2019,4.9,4.9,4.8,4.6,4.7,4.9,5,4,13,10
ANA,ANA300Y1,Kristina Lisk,Lisk K,Summer,2019,4.5,4.8,4.8,4.2,4.1,4.3,4.8,4.0,81,45
ANA,ANA300Y1,Maryam Faiz,Faiz M,Fall,2018,4.6,4.8,3.8,4.2,4.3,4.3,4.1,4.2,355,92
ANT,ANT100Y1,T Friesen,Friesen T,Winter,2018,3.4,4.1,3.4,2.9,3.2,3.4,2.9,2.1,43,10
ANT,ANT100Y1,Ivan Kalmar,Kalmar I,Winter,2018,3.4,4.1,3.9,2.9,3.2,3.4,3.7,2.1,43,10
ANT,ANT100Y1,Shawn Lehman,Lehman S,Winter,2018,3.4,4.1,4.7,2.9,3.2,3.4,4.7,2.1,43,10
ANT,ANT100Y1,T Friesen,Friesen T,Winter,2018,3.7,3.9,3.4,3.5,3.5,3.4,3.4,2.8,743,221
ANT,ANT100Y1,Ivan Kalmar,Kalmar I,Winter,2018,3.7,3.9,4.1,3.5,3.5,3.4,4.1,2.8,743,221
ANT,ANT100Y1,Shawn Lehman,Lehman S,Winter,2018,3.7,3.9,4.4,3.5,3.5,3.4,4.4,2.8,743,221
ANT,ANT200Y1,Anna Patton,Patton A,Winter,2018,3.9,4.2,4.1,3.8,3.9,3.7,4.2,3.2,125,41
ANT,ANT203Y1,T. Viola,Viola T,Winter,2018,4,4.2,3.7,3.7,3.6,3.6,4,2.9,117,41
ANT,ANT327H1,Lisa Davidson,Davidson L,Winter,2018,4.4,4.6,4.4,4.3,4.6,3.9,4.4,3.4,27,23
ANT,ANT335Y1,Laura Eastham,Eastham L,Winter,2018,4.7,4.8,4.9,4.6,4.5,4.7,4.9,2.9,32,28
ANT,ANT336H1,T. Viola,Viola T,Winter,2018,4.2,4.2,4.6,4.3,4.2,4.2,4.7,3.3,32,12
ANT,ANT341H1,Wen-Ching Sung,Sung W,Winter,2018,4.1,4.5,4.5,4.3,4.4,4.4,4.4,3.1,29,21
ANT,ANT343H1,Prakruti Dave,Dave P,Winter,2018,4.6,4.7,4.3,4.1,4.1,4.1,4.7,3.8,45,14
ANT,ANT366H1,Jesook Song,Song J,Winter,2018,3.6,3.4,3.4,3.1,3.2,2.9,3.6,3.1,43,14
ANT,ANT371H1,Laura Bolt,Bolt L,Winter,2018,3.8,4,3.7,3.6,3.6,3.4,3.8,3.1,52,22
ANT,ANT380H1,Edward Sammons,Sammons E,Winter,2018,4.4,4.3,4.7,4.3,4.6,4.3,4.9,4.2,25,10
ANT,ANT425H1,Hy Luong,Luong H,Winter,2018,4.8,4.2,4.4,4.4,4.4,4.2,4.6,3.6,22,6
ANT,ANT436H1,Shawn Lehman,Lehman S,Winter,2018,4.1,4.3,4.5,3.9,3.9,4.1,4.6,2.5,22,10
ANT,ANT457H1,Silvia Forni,Forni S,Winter,2018,4,3.8,4.2,3.7,4,3.8,4,3.2,13,6
ANT,ANT476H1,Janice Boddy,Boddy J,Winter,2018,4.4,4.2,4.4,4.6,4.2,4.2,4.4,3.4,13,5
ARH,ARH312Y1,Anna Patton,Patton A,Winter,2018,4.4,4.6,4.8,4.2,4.4,4.4,4.8,3.2,14,5
ANT,ANT388H1,Krista Maxwell,Maxwell K,Fall,2017,4.3,4.5,4.1,3.5,3.4,3.5,4.6,3.9,11,8
ANT,ANT348H1,Krista Maxwell,Maxwell K,Fall,2017,3.9,4,3.7,3.3,3.4,3.4,3.4,3.7,46,32
ANT,ANT475H1,Janice Boddy,Boddy J,Fall,2017,4.6,4.6,5,4.8,4.8,4.8,5,3.6,10,5
ANT,ANT430H1,Laura Bolt,Bolt L,Fall,2017,4.7,4.6,4.8,4.8,4.7,4.5,4.7,3.3,14,13
ANT,ANT200Y1,Michael Chazan,Chazan M,Fall,2017,3.8,4.1,3.8,3.6,3.8,3.5,3.9,3.1,132,41
ARH,ARH305H1,Gary Coupland,Coupland G,Fall,2017,3.8,4,4.5,4.2,4,4,4.2,2.8,22,6
ANT,ANT253H1,Marcel Danesi,Danesi M,Fall,2017,3.9,4,4.2,3.9,3.9,3.9,4.4,2.6,426,129
ANT,ANT438H1,Laura Eastham,Eastham L,Fall,2017,4.7,4.7,4.9,4.5,4.7,4.6,4.9,3.1,17,15
ARH,ARH309H1,Justin Jennings,Jennings J,Fall,2017,4.7,4.7,4.8,4.3,4.3,4.5,4.8,2.7,29,8
ANT,ANT207H1,Tania Li,Li T,Fall,2017,3.8,4,4,3.7,3.8,3.5,4.1,3.4,146,75
ANT,ANT329H1,Hy Luong,Luong H,Fall,2017,4.6,4.4,4.4,4.1,4.2,4.1,4.4,2.9,49,16
ANT,ANT335Y1,Mariam Nargolwalla,Nargolwalla M,Fall,2017,4.4,4.4,4.7,4.1,4,4.2,4.6,3.2,35,32
ANT,ANT317H1,Anna Patton,Patton A,Fall,2017,4.2,4.2,5,4,3.7,4,5,3,19,6
ANT,ANT480H1,Edward Sammons,Sammons E,Fall,2017,4.4,4.4,4.1,4.2,4.4,4,4.2,3.3,14,9
ANT,ANT378H1,Jesook Song,Song J,Fall,2017,3.4,3.5,3.1,3.1,3.4,3,3.6,2.9,29,8
ANT,ANT318H1,Edward Swenson,Swenson E,Fall,2017,3.6,3.6,3.6,3.6,3.4,3.2,3.3,3.8,28,9
ANT,ANT204H1,Jesook Song,Song J,Winter,2016,2.7,2.8,2.1,2.8,2.9,2.4,2.5,2.3,292,94
ANT,ANT457H1,Silvia Forni,Forni S,Winter,2016,4.6,4.6,4.9,4.8,4.8,4.8,5,3.2,18,11
ANT,ANT356H1,Gillian Gillison,Gillison G,Winter,2016,3.8,3.4,2.9,3,3.4,3,3.3,3.4,52,16
ANT,ANT322H1,Marcel Danesi,Danesi M,Winter,2016,3.9,4,4.4,3.5,3.5,3.9,4.6,2.5,206,60
ANT,ANT366H1,Vivian Solana,Solana V,Winter,2016,3.8,3.8,3.8,3.9,4,3.5,4.3,3.1,62,32
ARH,ARH309H1,Justin Jennings,Jennings J,Winter,2016,4.6,4.7,4.7,4.2,4.1,4.6,4.6,3,52,24
ANT,ANT319Y1,Anna Patton,Patton A,Winter,2016,4.9,4.9,4.9,4.7,4.7,4.8,4.9,3.2,24,13
