dept,course,instructor,abbrev_instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,num_invited,num_responded
AST,AST326Y1,Dae-Sik Moon,Moon D,Winter,2016,4.7,5,4,4.8,4.5,4.7,3.8,4.2,10,6
AST,AST326Y1,Suresh Sivanandam,Sivanandam S,Winter,2016,4.7,5,5,4.8,4.5,4.7,4.6,4.2,10,6
AST,AST121H1,Roberto Abraham,Abraham R,Winter,2016,4.3,4.2,4.3,3.7,3.6,3.9,4.7,2.4,105,31
AST,AST251H1,Hilding Neilson,Neilson H,Winter,2016,3.6,3.7,3.6,3.4,3.4,3.3,3.9,2.9,290,63
AST,AST101H1,Bryan Gaensler,Gaensler B,Fall,2015,4.2,4.5,4.1,4,4.1,4.2,4.2,2.9,1324,380
AST,AST101H1,Michael Reid,Reid M,Fall,2015,4.2,4.5,4.8,4,4.1,4.2,4.8,2.9,1324,380
AST,AST210H1,Hilding Neilson,Neilson H,Fall,2015,3.6,3.7,3.1,3.3,3.8,3.1,3.5,2.7,131,35
AST,AST221H1,Yanqin Wu,Wu Y,Fall,2015,4.5,4.3,4.2,3.8,3.6,3.8,4.4,3.4,50,27
AST,AST325H1,Dae-Sik Moon,Moon D,Fall,2015,4.3,4.6,4.2,4.9,4.8,4.4,4,4.1,16,9
AST,AST325H1,Suresh Sivanandam,Sivanandam S,Fall,2015,4.3,4.6,2.7,4.9,4.8,4.4,2.3,4.1,16,9
AST,AST201H1,Bryan Gaensler,Gaensler B,Winter,2016,4.4,4.5,4.5,4.1,4.1,4.2,4.5,2.9,1328,275
AST,AST201H1,Michael Reid,Reid M,Winter,2016,4.4,4.5,4.7,4.1,4.1,4.2,4.7,2.9,1328,275
AST,AST251H1,Parandis Tajbakhsh,Tajbakhsh P,Summer,2015,3.9,4.1,4,3.7,4,3.8,3.9,2.4,91,28
AST,AST251H1,Ian Shelton,Shelton I,Summer,2014,4.1,4.1,3.8,3.2,3.5,3.5,4,3,95,21
AST,AST201H1,Marija Stankovic,Stankovic M,Summer,2014,4,4.2,4.2,4.1,4.3,3.8,4.5,3.2,164,53
AST,AST101H1,Ian Shelton,Shelton I,Summer,2014,3.3,3.7,3.6,3.5,3.4,2.9,4,3.7,158,47
AST,AST121H1,Keith Vanderlinde,Vanderlinde K,Winter,2014,4.2,4.2,4.4,3.4,3.3,3.8,4.4,3.3,110,37
AST,AST201H1,Michael Reid,Reid M,Winter,2014,4.4,4.6,4.8,4.3,4.3,4.4,4.8,2.9,1266,409
AST,AST222H1,Stefan Mochnacki,Mochnacki S,Winter,2014,2.9,2.6,2.2,3,2.7,2.1,2.6,3,29,10
AST,AST251H1,Paola Rodriguez Hidalgo,Rodriguez Hidalgo P,Winter,2014,3.7,3.9,3.8,3.4,3.5,3.5,4.2,3.2,317,117
AST,AST320H1,Marten van Kerkwijk,van Kerkwijk M,Winter,2014,4.3,4.3,4.1,3.9,3.6,3.8,4.5,4.3,22,12
AST,AST326Y1,Dae-Sik Moon,Moon D,Winter,2014,4.7,4.7,2.8,4.6,4.6,4.2,3,4.9,11,9
AST,AST326Y1,Shelley Wright,Wright S,Winter,2014,4.7,4.7,4.3,4.6,4.6,4.2,4.6,4.9,11,9
AST,AST101H1,Michael Reid,Reid M,Fall,2013,4.2,4.4,4.8,4,4,3.9,4.8,2.9,1348,485
AST,AST101H1,Paola Rodriguez Hidalgo,Rodriguez Hidalgo P,Fall,2013,4.2,4.4,3.6,4,4,3.9,4,2.9,1348,485
AST,AST210H1,Stefan Mochnacki,Mochnacki S,Fall,2013,4,4,3.2,3.5,3.5,3.2,3.3,2.8,98,29
AST,AST221H1,Dae-Sik Moon,Moon D,Fall,2013,4.2,4.4,3.7,4.2,3.7,3.7,3.6,3.4,43,17
AST,AST201H1,Ian Shelton,Shelton I,Summer,2015,3.4,3.7,3.3,3.5,3.5,3.1,3.8,3.1,159,43
AST,AST101H1,Ian Shelton,Shelton I,Summer,2015,3.1,3.2,3,2.7,2.8,2.4,3.5,3.7,148,58
AST,AST101H1,C. Netterfield,Netterfield C,Fall,2014,4.2,4.4,4.2,4.1,4.1,4,4.4,2.8,1356,461
AST,AST101H1,Michael Reid,Reid M,Fall,2014,4.2,4.4,4.6,4.1,4.1,4,4.7,2.8,1356,461
AST,AST210H1,Stefan Mochnacki,Mochnacki S,Fall,2014,3.7,3.7,3,3.3,3.4,2.9,3.3,3.1,96,39
AST,AST221H1,Christopher Matzner,Matzner C,Fall,2014,4.3,4.3,4,3.6,3.1,3.6,4.3,3.5,41,22
AST,AST221H1,Yanqin Wu,Wu Y,Fall,2018,4.4,4.3,4.3,4,4,4,4.3,3.6,63,33
AST,AST101H1,C. Netterfield,Netterfield C,Fall,2018,4.2,4.5,4.6,4.2,4.2,4.3,4.7,2.7,1351,433
AST,AST210H1,Hilding Neilson,Neilson H,Fall,2018,3.8,3.9,3.5,3.4,3.8,3.5,3.8,2.9,92,23
AST,AST201H1,Ian Shelton,Shelton I,Summer,2019,3.8,4.2,3.7,3.6,3.8,3.6,3.9,2.9,169,17
AST,AST251H1,Ian Shelton,Shelton I,Summer,2019,4.1,3.9,3.9,3.7,3.8,3.7,3.8,3.0,81,25
AST,AST101H1,Damya Souami,Souami D,Summer,2019,3.2,3.5,3.2,3.1,3.0,2.8,3.7,3.8,130,31
AST,AST101H1,Bryan Gaensler,Gaensler B,Fall,2018,4.2,4.5,4.2,4.2,4.2,4.3,4.2,2.7,1351,433
AST,AST222H1,Jo Bovy,Bovy J,Winter,2019,4.17,4,3.8,3.8,3.8,3.5,3.8,3.4,47,25
AST,AST201H1,Bryan Gaensler,Gaensler B,Winter,2019,4.17,4.4,4.5,4.2,4.2,4.2,4.4,2.8,1387,325
AST,AST320H1,Renee Hlozek,Hlozek R,Winter,2019,4.56,4.3,4.3,4.2,4.3,4.1,5,3.9,24,16
AST,AST121H1,Dae-Sik Moon,Moon D,Winter,2019,3.82,3.8,3.2,3.6,3.3,2.9,3.1,2.9,49,22
AST,AST326Y1,Dae-Sik Moon,Moon D,Winter,2019,4.6,4.8,3.8,4.8,4.4,3.8,3.4,4.4,8,5
AST,AST201H1,C. Netterfield,Netterfield C,Winter,2019,4.17,4.4,4.3,4.2,4.2,4.2,4.5,2.8,1387,325
AST,AST251H1,Michael Reid,Reid M,Winter,2019,4.32,4.4,4.7,3.9,3.9,4.2,4.7,3.1,316,97
AST,AST326Y1,Keith Vanderlinde,Vanderlinde K,Winter,2019,4.6,4.8,4,4.8,4.4,3.8,4.4,4.4,8,5
BCH,BCH210H1,Stavroula Andreopoulos,Andreopoulos S,Fall,2017,4,4.2,4,3.7,3.7,3.6,4.1,3.7,1039,443
BCH,BCH478H1,Grant Brown,Brown G,Fall,2017,4.6,4.7,5,4.6,4.6,4.7,5,3.6,16,9
BCH,BCH428H1,Alexander Ensminger,Ensminger A,Fall,2017,4.5,4.5,4.5,4,3.8,4.2,4.8,3,12,6
BCH,BCH377H1,Eden Fussner,Fussner E,Fall,2017,4.5,4.5,4.9,4.6,4.5,4.7,5,3.3,31,15
BCH,BCH425H1,Lynne Howell,Howell L,Fall,2017,4.3,4.9,3.4,4.4,4.1,3.7,3.3,3.1,11,7
BCH,BCH478H1,Ahlia Khan-Trottier,Khan-Trottier A,Fall,2017,4.6,4.7,4.3,4.6,4.6,4.7,4.2,3.6,16,9
BCH,BCH370H1,Ahlia Khan-Trottier,Khan-Trottier A,Fall,2017,3.7,3.9,4,3.2,3.1,3,3.6,4.2,85,27
BCH,BCH422H1,Morris Manolson,Manolson M,Fall,2017,3.8,3.9,4.5,3.7,3.4,3.3,4.5,3.4,51,18
BCH,BCH210H1,Roman Melnyk,Melnyk R,Fall,2017,4,4.2,4.2,3.7,3.7,3.6,4,3.7,1039,443
BCH,BCH478H1,Trevor Moraes,Moraes T,Fall,2017,4.6,4.7,4.9,4.6,4.6,4.7,4.9,3.6,16,9
BCH,BCH422H1,Trevor Moraes,Moraes T,Fall,2017,3.8,3.9,4.2,3.7,3.4,3.3,4.2,3.4,51,18
BCH,BCH448H1,Alexander Palazzo,Palazzo A,Fall,2017,3.4,3.4,3.9,3.1,2.9,2.9,4.3,4.4,25,8
BCH,BCH428H1,John Parkinson,Parkinson J,Fall,2017,4.5,4.5,4.3,4,3.8,4.2,4.5,3,12,6
BCH,BCH210H1,Sian Patterson,Patterson S,Fall,2017,4,4.2,4.1,3.7,3.7,3.6,4.1,3.7,1039,443
BCH,BCH422H1,Gil Prive,Prive G,Fall,2017,3.8,3.9,3.8,3.7,3.4,3.3,3.7,3.4,51,18
BCH,BCH210H1,Reinhart Reithmeier,Reithmeier R,Fall,2017,4,4.2,4.1,3.7,3.7,3.6,4.2,3.7,1039,443
BCH,BCH422H1,Reinhart Reithmeier,Reithmeier R,Fall,2017,3.8,3.9,3.1,3.7,3.4,3.3,3.1,3.4,51,18
BCH,BCH425H1,John Rubinstein,Rubinstein J,Fall,2017,4.3,4.9,4.3,4.4,4.1,3.7,4.6,3.1,11,7
BCH,BCH425H1,Simon Sharpe,Sharpe S,Fall,2017,4.3,4.9,4.1,4.4,4.1,3.7,4.6,3.1,11,7
BCB,BCB410H1,Boris Steipe,Steipe B,Fall,2017,4.5,4.2,4.8,4.5,4.3,4,4.7,3.7,21,6
BCH,BCH441H1,Boris Steipe,Steipe B,Fall,2017,4.1,4,3.4,4.1,4,3.6,3.9,4.3,38,11
BCH,BCH448H1,Andrew Wilde,Wilde A,Fall,2017,3.4,3.4,3.1,3.1,2.9,2.9,3.5,4.4,25,8
BCH,BCH425H1,Christopher Yip,Yip C,Fall,2017,4.3,4.9,4.3,4.4,4.1,3.7,5,3.1,11,7
BCB,BCB420H1,Boris Steipe,Steipe B,Winter,2018,2.4,2.1,2.4,2.6,2.4,2.1,3.1,3.5,22,8
BCH,BCH242Y1,Peter Lewis,Lewis P,Winter,2018,4.5,4.6,4.1,4.3,4.2,4.2,4.1,3.5,45,21
BCH,BCH242Y1,Sian Patterson,Patterson S,Winter,2018,4.5,4.6,4.6,4.3,4.2,4.2,4.5,3.5,45,21
BCH,BCH242Y1,Craig Smibert,Smibert C,Winter,2018,4.5,4.6,4.6,4.3,4.2,4.2,4.5,3.5,45,21
BCH,BCH242Y1,Igor Stagljar,Stagljar I,Winter,2018,4.5,4.6,4.4,4.3,4.2,4.2,4.4,3.5,45,21
BCH,BCH311H1,Stavroula Andreopoulos,Andreopoulos S,Winter,2018,3.9,4.2,4,3.7,3.7,3.6,4.1,3.8,513,166
BCH,BCH311H1,Grant Brown,Brown G,Winter,2018,3.9,4.2,4.3,3.7,3.7,3.6,4.3,3.8,513,166
BCH,BCH311H1,Sian Patterson,Patterson S,Winter,2018,3.9,4.2,3.9,3.7,3.7,3.6,3.8,3.8,513,166
BCH,BCH340H1,Avijit Chakrabartty,Chakrabartty A,Winter,2018,4.1,4.1,3.4,3.8,3.5,3.4,3,3.4,47,8
BCH,BCH340H1,Joel Watts,Watts J,Winter,2018,4.1,4.1,4.6,3.8,3.5,3.4,4.1,3.4,47,8
BCH,BCH370H1,Ahlia Khan-Trottier,Khan-Trottier A,Winter,2018,3.9,3.4,3.6,2.9,2.9,2.6,3.7,4.4,34,10
BCH,BCH426H1,Khosrow Adeli,Adeli K,Winter,2018,4.1,4.1,4.1,3.8,3.8,3.6,4,3.4,63,19
BCH,BCH426H1,Liliana Attisano,Attisano L,Winter,2018,4.1,4.1,4.1,3.8,3.8,3.6,4.1,3.4,63,19
BCH,BCH426H1,Oliver Ernst,Ernst O,Winter,2018,4.1,4.1,3.6,3.8,3.8,3.6,3.6,3.4,63,19
BCH,BCH426H1,Amira Klip,Klip A,Winter,2018,4.1,4.1,4.3,3.8,3.8,3.6,4.4,3.4,63,19
BCH,BCH440H1,John Glover,Glover J,Winter,2018,3.6,4.4,3.4,3.5,4,3.3,3.9,3.8,16,8
BCH,BCH210H1,Stavroula Andreopoulos,Andreopoulos S,Summer,2017,3.9,4.1,4,3.7,3.7,3.4,4.1,3.9,197,66
BCH,BCH210H1,Stavroula Andreopoulos,Andreopoulos S,Summer,2018,3.5,4,3.5,3.3,3.4,3.2,3.5,4,156,52
BCH,BCH210H1,Sian Patterson,Patterson S,Summer,2018,3.5,4,3.8,3.3,3.4,3.2,3.8,4,156,52
BCB,BCB420H1,Boris Steipe,Steipe B,Winter,2017,3.6,3,3.6,3.4,3,2.8,3.6,4,18,5
BCH,BCH242Y1,Christine Bear,Bear C,Winter,2017,4.8,4.7,4.3,4.3,4.3,4.4,4.1,3.8,62,32
BCH,BCH242Y1,Justin Nodwell,Nodwell J,Winter,2017,4.8,4.7,4.2,4.3,4.3,4.4,4,3.8,62,32
BCH,BCH242Y1,Sian Patterson,Patterson S,Winter,2017,4.8,4.7,4.7,4.3,4.3,4.4,4.7,3.8,62,32
BCH,BCH242Y1,Igor Stagljar,Stagljar I,Winter,2017,4.8,4.7,4.6,4.3,4.3,4.4,4.6,3.8,62,32
BCH,BCH311H1,Stavroula Andreopoulos,Andreopoulos S,Winter,2017,3.62,3.89,3.55,3.16,3.15,3.09,3.72,3.86,506,176
BCH,BCH311H1,Grant Brown,Brown G,Winter,2017,3.62,3.89,3.41,3.16,3.15,3.09,3.65,3.86,506,176
BCH,BCH311H1,Shana Kelley,Kelley S,Winter,2017,3.62,3.89,3.97,3.16,3.15,3.09,4,3.86,506,176
BCH,BCH340H1,Avijit Chakrabartty,Chakrabartty A,Winter,2017,3.7,4.1,3.1,3.9,3.8,3.2,3,3,44,16
BCH,BCH340H1,Hue Chan,Chan H,Winter,2017,3.7,4.1,3.4,3.9,3.8,3.2,3.4,3,44,16
BCH,BCH340H1,Walid Houry,Houry W,Winter,2017,3.7,4.1,4.3,3.9,3.8,3.2,4.2,3,44,16
BCH,BCH340H1,Joel Watts,Watts J,Winter,2017,3.7,4.1,4.8,3.9,3.8,3.2,4.9,3,44,16
BCH,BCH350H1,Justin Nodwell,Nodwell J,Winter,2017,4.5,4.5,4.5,4.2,4,3.7,4.8,3,21,6
BCH,BCH370H1,Ahlia Khan-Trottier,Khan-Trottier A,Winter,2017,2.8,3.1,3.1,3.1,3.1,2.6,3.1,4.7,43,15
BCH,BCH378H1,Cordula Enenkel,Enenkel C,Winter,2017,3.9,4,4.4,4.1,3.9,3.1,4.4,4.1,16,8
BCH,BCH378H1,Ahlia Khan-Trottier,Khan-Trottier A,Winter,2017,3.9,4,3.5,4.1,3.9,3.1,3.3,4.1,16,8
BCH,BCH426H1,Liliana Attisano,Attisano L,Winter,2017,3.5,3.5,3,2.8,2.5,3,2.9,3.1,54,7
BCH,BCH426H1,Amira Klip,Klip A,Winter,2017,3.5,3.5,4.5,2.8,2.5,3,4.6,3.1,54,7
BCH,BCH426H1,Daniela Rotin,Rotin D,Winter,2017,3.5,3.5,3.4,2.8,2.5,3,3.3,3.1,54,7
BCH,BCH426H1,Frank Sicheri,Sicheri F,Winter,2017,3.5,3.5,3.8,2.8,2.5,3,3.7,3.1,54,7
BCH,BCH444H1,Daniela Rotin,Rotin D,Winter,2017,4.6,4.7,4.4,4.3,4.4,4.2,4.3,4.1,29,7
BCH,BCH444H1,William Trimble,Trimble W,Winter,2017,4.6,4.7,4.4,4.3,4.4,4.2,4.3,4.1,29,7
BCH,BCH444H1,Allen Volchuk,Volchuk A,Winter,2017,4.6,4.7,4.3,4.3,4.4,4.2,4.3,4.1,29,7
BCH,BCH444H1,David Williams,Williams D,Winter,2017,4.6,4.7,4.9,4.3,4.4,4.2,4.7,4.1,29,7
BCH,BCH447H1,Laurence Moran,Moran L,Winter,2017,3.9,3.7,3.6,3.3,3.4,3.7,3.8,2.7,32,10
BCH,BCH449H1,Walter Kahr,Kahr W,Winter,2017,4.9,4.4,4.1,4.4,4.4,4.3,4.1,3.6,20,7
BCH,BCH449H1,Mathieu Lemaire,Lemaire M,Winter,2017,4.9,4.4,4.6,4.4,4.4,4.3,4.1,3.6,20,7
BCH,BCH449H1,Jason Maynes,Maynes J,Winter,2017,4.9,4.4,4.4,4.4,4.4,4.3,4.3,3.6,20,7
BCH,BCH449H1,Margaret Rand,Rand M,Winter,2017,4.9,4.4,4.7,4.4,4.4,4.3,4.4,3.6,20,7
BCH,BCH210H1,Stavroula Andreopoulos,Andreopoulos S,Fall,2016,3.9,4.1,3.8,3.4,3.3,3.3,3.9,3.9,1166,447
BCH,BCH210H1,Roman Melnyk,Melnyk R,Fall,2016,3.9,4.1,4.2,3.4,3.3,3.3,4,3.9,1166,447
BCH,BCH210H1,Sian Patterson,Patterson S,Fall,2016,3.9,4.1,3.9,3.4,3.3,3.3,3.9,3.9,1166,447
BCH,BCH210H1,Reinhart Reithmeier,Reithmeier R,Fall,2016,3.9,4.1,3.8,3.4,3.3,3.3,4,3.9,1166,447
BCH,BCH242Y1,Shana Kelley,Kelley S,Fall,2016,4.3,4.5,4,4.3,4.2,4.2,4,3.4,62,18
BCH,BCH242Y1,Peter Lewis,Lewis P,Fall,2016,4.3,4.5,3.7,4.3,4.2,4.2,3.8,3.4,62,18
BCH,BCH242Y1,James Rini,Rini J,Fall,2016,4.3,4.5,3.7,4.3,4.2,4.2,3.7,3.4,62,18
BCH,BCH242Y1,Craig Smibert,Smibert C,Fall,2016,4.3,4.5,4.1,4.3,4.2,4.2,4.2,3.4,62,18
BCH,BCH370H1,Ahlia Khan-Trottier,Khan-Trottier A,Fall,2016,3.4,3.6,3.6,3.3,3,2.6,3.5,4.6,84,31
BCH,BCH377H1,Ahlia Khan-Trottier,Khan-Trottier A,Fall,2016,4.5,4.7,3.1,4.7,4.6,4.4,3.2,4.1,25,18
BCH,BCH377H1,Helen Miliotis,Miliotis H,Fall,2016,4.5,4.7,4.8,4.7,4.6,4.4,4.8,4.1,25,18
BCH,BCH422H1,Gil Prive,Prive G,Fall,2016,3.5,3.6,3.8,3.4,3.4,3.3,3.9,3.7,42,10
BCH,BCH425H1,Lynne Howell,Howell L,Fall,2016,3.4,3.9,3.4,3.8,3.3,2.7,3.5,3.5,25,8
BCH,BCH425H1,John Rubinstein,Rubinstein J,Fall,2016,3.4,3.9,4.1,3.8,3.3,2.7,4.6,3.5,25,8
BCH,BCH425H1,Simon Sharpe,Sharpe S,Fall,2016,3.4,3.9,4,3.8,3.3,2.7,4.3,3.5,25,8
BCH,BCH425H1,Christopher Yip,Yip C,Fall,2016,3.4,3.9,4.4,3.8,3.3,2.7,4.8,3.5,25,8
BCH,BCH441H1,Boris Steipe,Steipe B,Fall,2016,3.7,3.3,3,3.4,3.1,2.4,3.2,3.3,48,12
BCH,BCH448H1,Alexander Palazzo,Palazzo A,Fall,2016,4,4.2,4.2,3.8,3.8,3.3,4.4,3.7,19,7
BCH,BCH448H1,Andrew Wilde,Wilde A,Fall,2016,4,4.2,3.8,3.8,3.8,3.3,4.1,3.7,19,7
BCH,BCH370H1,Ahlia Khan-Trottier,Khan-Trottier A,Winter,2016,4.3,4.6,4.4,4.3,4.3,3.9,4.3,4.7,42,13
BCH,BCH311H1,Stavroula Andreopoulos,Andreopoulos S,Winter,2016,3.6,3.7,3.7,3,2.9,3,3.8,3.7,615,201
BCH,BCH311H1,Grant Brown,Brown G,Winter,2016,3.6,3.7,3.3,3,2.9,3,3.5,3.7,615,201
BCH,BCH311H1,Shana Kelley,Kelley S,Winter,2016,3.6,3.7,3.9,3,2.9,3,4,3.7,615,201
BCH,BCH210H1,Stavroula Andreopoulos,Andreopoulos S,Fall,2013,3.9,4.3,3.4,3.6,3.7,3.6,3.6,3.6,1134,373
BCH,BCH210H1,Charles Deber,Deber C,Fall,2013,3.9,4.3,4.3,3.6,3.7,3.6,4,3.6,1134,373
BCH,BCH210H1,Roman Melnyk,Melnyk R,Fall,2013,3.9,4.3,4.4,3.6,3.7,3.6,4.2,3.6,1134,373
BCH,BCH210H1,Sian Patterson,Patterson S,Fall,2013,3.9,4.3,3.9,3.6,3.7,3.6,3.9,3.6,1134,373
BCH,BCH242Y1,Trevor Moraes,Moraes T,Fall,2013,4.6,4.7,4.6,3.9,3.9,4,4.6,3.3,62,29
BCH,BCH242Y1,Craig Smibert,Smibert C,Fall,2013,4.6,4.7,4.2,3.9,3.9,4,4.1,3.3,62,29
BCH,BCH370H1,Ahlia Khan-Trottier,Khan-Trottier A,Fall,2013,4.2,4,3.9,4,3.6,3.5,3.6,4.6,74,26
BCH,BCH377H1,Ahlia Khan-Trottier,Khan-Trottier A,Fall,2013,3.6,3.7,4.6,4,3.9,3.3,3.9,4.2,31,12
BCH,BCH425H1,Lynne Howell,Howell L,Fall,2013,4.1,3.9,3.3,4.1,3.7,3.6,3.4,3.5,16,7
BCH,BCH425H1,John Rubinstein,Rubinstein J,Fall,2013,4.1,3.9,3.9,4.1,3.7,3.6,4.1,3.5,16,7
BCH,BCH425H1,Simon Sharpe,Sharpe S,Fall,2013,4.1,3.9,3,4.1,3.7,3.6,3.4,3.5,16,7
BCH,BCH425H1,Christopher Yip,Yip C,Fall,2013,4.1,3.9,4.1,4.1,3.7,3.6,4.6,3.5,16,7
BCH,BCH441H1,Boris Steipe,Steipe B,Fall,2013,3.9,3.9,4.2,4.1,4.1,3.9,4.5,4.1,34,14
BCH,BCH448H1,David Bazett-Jones,Bazett-Jones D,Fall,2013,4.2,4.4,4.8,3.6,3.6,4,5,3.6,20,5
BCH,BCH448H1,Alexander Palazzo,Palazzo A,Fall,2013,4.2,4.4,5,3.6,3.6,4,5,3.6,20,5
BCH,BCH448H1,David Pulleyblank,Pulleyblank D,Fall,2013,4.2,4.4,4.6,3.6,3.6,4,4.8,3.6,20,5
BCH,BCH448H1,Andrew Wilde,Wilde A,Fall,2013,4.2,4.4,4.6,3.6,3.6,4,4.8,3.6,20,5
BCH,BCH478H1,Grant Brown,Brown G,Fall,2013,4,4.3,4.2,4,3.2,3.5,3.8,4.7,13,6
BCH,BCH478H1,John Glover,Glover J,Fall,2013,4,4.3,2.7,4,3.2,3.5,3,4.7,13,6
BCH,BCH478H1,Ahlia Khan-Trottier,Khan-Trottier A,Fall,2013,4,4.3,4.2,4,3.2,3.5,4.2,4.7,13,6
BCH,BCH478H1,Emil Pai,Pai E,Fall,2013,4,4.3,4.2,4,3.2,3.5,4.2,4.7,13,6
BCH,BCH242Y1,Sian Patterson,Patterson S,Winter,2014,4.3,4.3,4.6,3.8,3.9,3.7,4.5,3.7,54,30
BCH,BCH242Y1,Adam Rosebrock,Rosebrock A,Winter,2014,4.3,4.3,3.7,3.8,3.9,3.7,4,3.7,54,30
BCH,BCH242Y1,Igor Stagljar,Stagljar I,Winter,2014,4.3,4.3,3.6,3.8,3.9,3.7,3.6,3.7,54,30
BCH,BCH242Y1,Boris Steipe,Steipe B,Winter,2014,4.3,4.3,3.1,3.8,3.9,3.7,3.1,3.7,54,30
BCH,BCH311H1,Stavroula Andreopoulos,Andreopoulos S,Winter,2014,3.4,3.7,3.8,2.8,2.7,2.8,3.8,3.4,598,197
BCH,BCH311H1,Grant Brown,Brown G,Winter,2014,3.4,3.7,3.1,2.8,2.7,2.8,3.4,3.4,598,197
BCH,BCH311H1,Shana Kelley,Kelley S,Winter,2014,3.4,3.7,4.2,2.8,2.7,2.8,4.1,3.4,598,197
BCH,BCH340H1,Avijit Chakrabartty,Chakrabartty A,Winter,2014,3.6,4.1,3.2,3.9,3.5,2.9,3.1,3.8,36,14
BCH,BCH340H1,Hue Chan,Chan H,Winter,2014,3.6,4.1,2.7,3.9,3.5,2.9,2.8,3.8,36,14
BCH,BCH340H1,Walid Houry,Houry W,Winter,2014,3.6,4.1,2.8,3.9,3.5,2.9,2.8,3.8,36,14
BCH,BCH340H1,Simon Sharpe,Sharpe S,Winter,2014,3.6,4.1,3.4,3.9,3.5,2.9,3.4,3.8,36,14
BCH,BCH370H1,Ahlia Khan-Trottier,Khan-Trottier A,Winter,2014,4.1,4.3,4.2,4.1,3.9,3.7,3.9,4.3,57,17
BCH,BCH426H1,Khosrow Adeli,Adeli K,Winter,2014,3.9,3.9,3.4,3.5,3.2,3.3,3.7,3.2,77,21
BCH,BCH426H1,Stephane Angers,Angers S,Winter,2014,3.9,3.9,3.9,3.5,3.2,3.3,4.1,3.2,77,21
BCH,BCH426H1,Liliana Attisano,Attisano L,Winter,2014,3.9,3.9,3.6,3.5,3.2,3.3,3.7,3.2,77,21
BCH,BCH426H1,Oliver Ernst,Ernst O,Winter,2014,3.9,3.9,3.5,3.5,3.2,3.3,3.8,3.2,77,21
BCH,BCH440H1,John Glover,Glover J,Winter,2014,3.7,4,3.7,3.8,3.5,3.3,3.3,4,15,6
BCH,BCH444H1,Daniela Rotin,Rotin D,Winter,2014,4.2,4.2,3.4,3.3,3.3,3.4,3.5,3.6,57,17
BCH,BCH444H1,William Trimble,Trimble W,Winter,2014,4.2,4.2,3.8,3.3,3.3,3.4,3.6,3.6,57,17
BCH,BCH444H1,Allen Volchuk,Volchuk A,Winter,2014,4.2,4.2,3.8,3.3,3.3,3.4,3.9,3.6,57,17
BCH,BCH444H1,David Williams,Williams D,Winter,2014,4.2,4.2,3.8,3.3,3.3,3.4,4.2,3.6,57,17
BCH,BCH447H1,Laurence Moran,Moran L,Winter,2014,4.1,4.2,4.1,3.8,3.7,3.7,4.6,2.9,21,9
BCH,BCH210H1,Stavroula Andreopoulos,Andreopoulos S,Summer,2014,3.5,3.8,3.8,3.1,3.1,3.1,3.7,3.7,196,62
BCH,BCH210H1,Sian Patterson,Patterson S,Summer,2014,3.5,3.8,4,3.1,3.1,3.1,4.1,3.7,196,62
BCH,BCH210H1,Stavroula Andreopoulos,Andreopoulos S,Summer,2015,3.5,3.9,3.7,3.1,3.1,3,3.7,3.7,199,55
BCH,BCH210H1,Sian Patterson,Patterson S,Summer,2015,3.5,3.9,3.6,3.1,3.1,3,3.4,3.7,199,55
BCH,BCH210H1,Stavroula Andreopoulos,Andreopoulos S,Fall,2015,4,4.2,3.8,3.6,3.6,3.5,4,3.7,1206,421
BCH,BCH210H1,Roman Melnyk,Melnyk R,Fall,2015,4,4.2,4.2,3.6,3.6,3.5,4,3.7,1206,421
BCH,BCH210H1,Sian Patterson,Patterson S,Fall,2015,4,4.2,3.5,3.6,3.6,3.5,3.6,3.7,1206,421
BCH,BCH210H1,Reinhart Reithmeier,Reithmeier R,Fall,2015,4,4.2,4.2,3.6,3.6,3.5,4.3,3.7,1206,421
BCH,BCH242Y1,Trevor Moraes,Moraes T,Fall,2015,4.5,4.6,4.2,4,4.1,4,4.4,3.9,51,30
BCH,BCH242Y1,Craig Smibert,Smibert C,Fall,2015,4.5,4.6,3.7,4,4.1,4,3.6,3.9,51,30
BCH,BCH370H1,Cordula Enenkel,Enenkel C,Fall,2015,3.5,3.8,2.4,3.7,3.4,3.3,2.1,4.8,82,30
BCH,BCH370H1,John Glover,Glover J,Fall,2015,3.5,3.8,2.6,3.7,3.4,3.3,2.2,4.8,82,30
BCH,BCH370H1,Ahlia Khan-Trottier,Khan-Trottier A,Fall,2015,3.5,3.8,4.3,3.7,3.4,3.3,4.2,4.8,82,30
BCH,BCH377H1,Ahlia Khan-Trottier,Khan-Trottier A,Fall,2015,3.7,4,4.5,3.7,3.5,3.5,4.3,4.4,45,19
BCH,BCH425H1,James Rini,Rini J,Fall,2015,3.8,3.8,2.4,4.1,3.9,3.8,2.9,3.1,30,10
BCH,BCH425H1,John Rubinstein,Rubinstein J,Fall,2015,3.8,3.8,4.7,4.1,3.9,3.8,4.4,3.1,30,10
BCH,BCH425H1,Simon Sharpe,Sharpe S,Fall,2015,3.8,3.8,4,4.1,3.9,3.8,4.2,3.1,30,10
BCH,BCH425H1,Christopher Yip,Yip C,Fall,2015,3.8,3.8,4.3,4.1,3.9,3.8,4.4,3.1,30,10
