course,instructor,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9
ANT316H1,Edward Swenson,4.1,4.5,4.4,4.7,4.7,3.9,4.7,3.3,4.2
ANT317H1,Anna Patton,4.2,4.4,5,4.7,4.7,4,4.3,3.2,4.3
ANT322H1,Marcel Danesi,3.7,3.7,4,3.4,3.3,3.9,4.4,2.3,4.1
ANT329H1,Hy Luong,4.4,4.4,4.3,4.2,4.1,4,4.6,2.7,4.1
ANT334H1,Amy Beresheim,4.1,4.1,3.7,3.5,3.6,3.1,4,4.6,2.9
ANT335Y1,David Begun,4.3,4.1,3.6,3.4,3,3.4,3.9,3.5,3.1
ANT338H1,T. Viola,3.8,3.6,3.8,3.1,3.3,2.8,4.4,3.5,3.1
ANT343H1,Prakruti Dave,4.8,4.7,4.7,4.2,4.2,4.3,4.7,4.1,4.3
ANT370H1,Kristin Bright,4.4,4.4,4.6,4.1,4.3,4.2,4.7,3.5,4.2
ANT374H1,Tania Li,4.5,4.6,4.6,4.3,4.1,4.4,4.4,3.5,4.2
ANT378H1,Jesook Song,3.6,3.9,3.9,4.1,4,3.7,3.8,2.9,3.9
ANT384H1,Krista Maxwell,4.5,4.8,4.1,4.1,4,4.2,4.3,3.9,4
ANT416H1,Edward Swenson,4.3,4.7,4.7,4.5,4.5,4.4,4.7,3.8,4
ANT441H1,Kristin Bright,4.9,4.9,4.6,4.9,4.8,4.8,5,3.6,4.6
ANT452H1,Michael Levin,4.6,5,4.2,4.6,4.8,4.3,4.2,3.4,4.6
ANT458H1,Krista Maxwell,5,5,4.6,4.8,5,4.8,4.8,4,5
ANT476H1,Janice Boddy,5,4.8,4.8,4.3,4,4.7,4.5,3.8,4.5
ANT481H1,Julia Gamble,3.8,4.4,4.5,4.2,4.3,3.7,4.3,3.8,3.7
ANT484H1,Atreyee Majumder,4.3,4.3,4.4,3.7,3.7,3.5,4.3,3.9,3.7
ARH305H1,Gary Coupland,4.3,4.5,4.5,4.3,4.1,4.1,4.3,3.4,3.9
ARH309H1,Justin Jennings,4.5,4.6,4.6,4.2,4.3,4.1,4.5,2.7,4.1
ANT100Y1,T Friesen,3.5,4.1,3.6,3.1,3.1,3.5,3.8,2.2,3.3
ANT100Y1,Ivan Kalmar,3.5,4.1,3.8,3.1,3.1,3.5,4,2.2,3.3
ANT100Y1,Shawn Lehman,3.5,4.1,3.8,3.1,3.1,3.5,4,2.2,3.3
ANT100Y1,T Friesen,3.67,3.91,3.53,3.51,3.64,3.44,3.37,2.89,3.58
ANT100Y1,Ivan Kalmar,3.67,3.91,4.2,3.51,3.64,3.44,4.23,2.89,3.58
ANT100Y1,Shawn Lehman,3.67,3.91,4.21,3.51,3.64,3.44,4.32,2.89,3.58
ANT200Y1,Anna Patton,3.9,4,4,3.9,3.8,3.6,3.7,3.3,3.7
ANT203Y1,T. Viola,3.8,3.7,3.2,3.1,2.9,2.9,3.5,3.3,2.9
ANT204H1,Kristin Bright,3.4,3.4,3.1,3.3,3.4,2.9,3.5,3.8,2.8
ANT253H1,Marcel Danesi,3.6,3.73,3.85,3.53,3.62,3.42,4.35,2.77,3.73
ANT314H1,Gary Coupland,3.9,4,4,3.9,3.9,3.3,4,2.9,3.6
ANT327H1,Bonnie McElhinny,4.2,4.4,3.9,3.8,4,3.4,3.8,3.9,3.7
ANT333Y1,Shawn Lehman,4.3,4.4,4,3.8,3.7,3.8,4.7,3.3,4.2
ANT336H1,T. Viola,3.8,3.9,3.9,3.4,3.3,3.6,4.1,3.4,3.1
ANT341H1,Wen-Ching Sung,4.1,4.5,4.3,4.2,4.1,4.1,4.3,3.1,4.2
ANT345H1,Kristin Bright,4.1,4,4.1,3.9,3.6,3.9,4.4,4.1,3.6
ANT356H1,Gillian Gillison,4,3.8,3,3.1,3.4,3.2,3.2,3,3.2
ANT371H1,Julia Gamble,3.8,4,4.3,3.8,3.9,3.9,4.2,3,3.7
ANT380H1,Shiho Satsuka,4.6,4.7,4.3,4.4,4.3,4.4,4.6,3.9,4.7
ANT390H1,Atreyee Majumder,5,4.6,4.8,4.6,4.6,4.6,4.2,3.6,4.6
ANT411H1,Edward Swenson,4.3,4,3.8,3.7,3.8,3.6,4.3,4.6,3.1
ANT415Y1,T Friesen,5,5,5,5,4.9,5,5,4.6,5
ANT420H1,Gary Coupland,3.7,3.9,4,4.1,4.2,3.7,4,2.6,4.1
ANT427H1,Diane Riskedahl,4.2,4.1,4.4,4.6,4.4,4,4.7,3.2,4.2
ANT434H1,Julia Gamble,4.3,4.4,4.1,3.9,4,3.9,4.1,3.5,4
ANT435H1,Julia Gamble,3.8,3.8,3.9,3.9,3.7,3.4,3.7,3.1,3.7
ANT438H1,Iulia Badescu,3.9,4,4,3.8,3.7,3,4.3,3.2,3.6
ANT445H1,Shiho Satsuka,4.71,4.71,4.71,4.33,4.67,4.43,4.29,3.71,3.86
ANT462H1,Prakruti Dave,4.5,4.4,4.5,4.5,4.6,4.1,4.7,3.5,4.4
ANT474H1,Holly Wardlow,4.9,4.9,5,4.9,4.9,4.8,4.9,3.3,4.8
ANT475H1,Janice Boddy,4.2,4.7,4.7,4.5,4.5,4.3,4,3.8,4.3
ANT480Y1,Anna Patton,4.7,4.8,4.7,4.4,4.4,4.9,4.8,3.8,4.8
ANT485H1,Mathew Gagne,4.86,4.57,4.57,4.43,4.43,4.17,4.43,3.57,4.14
ARH312Y1,Anna Patton,3,3.5,4.1,3.3,3.3,2.9,3.9,3.3,2.9
ARH360H1,Michael Chazan,4.5,4.5,4.5,4.2,4,4,4.7,3.5,4.2
ANT100Y1,Victor Barac,3.5,3.8,3,3.5,3.5,3,2.8,3.3,3.3
ANT253H1,Marcel Danesi,4.2,4.4,4.7,4.3,4.3,4.4,4.8,2.7,4.6
