course,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,num_invited,num_responded,instructor
ANT100Y1,Winter,2017,3.67,3.91,4.2,3.51,3.64,3.44,4.23,2.89,3.58,806,309,"Kalmar, I."
ANT100Y1,Winter,2017,3.67,3.91,4.21,3.51,3.64,3.44,4.32,2.89,3.58,806,309,"Lehman, S."
ANT200Y1,Winter,2017,3.9,4,4,3.9,3.8,3.6,3.7,3.3,3.7,124,45,"Patton, A."
ANT203Y1,Winter,2017,3.8,3.7,3.2,3.1,2.9,2.9,3.5,3.3,2.9,137,55,"Viola, T."
ANT204H1,Winter,2017,3.4,3.4,3.1,3.3,3.4,2.9,3.5,3.8,2.8,268,85,"Bright, K."
ANT253H1,Winter,2017,3.6,3.73,3.85,3.53,3.62,3.42,4.35,2.77,3.73,447,107,"Danesi, M."
ANT314H1,Winter,2017,3.9,4,4,3.9,3.9,3.3,4,2.9,3.6,24,8,"Coupland, G."
ANT327H1,Winter,2017,4.2,4.4,3.9,3.8,4,3.4,3.8,3.9,3.7,35,11,"McElhinny, B."
ANT333Y1,Winter,2017,4.3,4.4,4,3.8,3.7,3.8,4.7,3.3,4.2,27,16,"Lehman, S."
ANT336H1,Winter,2017,3.8,3.9,3.9,3.4,3.3,3.6,4.1,3.4,3.1,33,15,"Viola, T."
ANT341H1,Winter,2017,4.1,4.5,4.3,4.2,4.1,4.1,4.3,3.1,4.2,43,23,"Sung, W."
ANT345H1,Winter,2017,4.1,4,4.1,3.9,3.6,3.9,4.4,4.1,3.6,58,16,"Bright, K."
ANT356H1,Winter,2017,4,3.8,3,3.1,3.4,3.2,3.2,3,3.2,50,27,"Gillison, G."
ANT371H1,Winter,2017,3.8,4,4.3,3.8,3.9,3.9,4.2,3,3.7,64,25,"Gamble, J."
ANT380H1,Winter,2017,4.6,4.7,4.3,4.4,4.3,4.4,4.6,3.9,4.7,16,11,"Satsuka, S."
ANT390H1,Winter,2017,5,4.6,4.8,4.6,4.6,4.6,4.2,3.6,4.6,10,5,"Majumder, A."
ANT411H1,Winter,2017,4.3,4,3.8,3.7,3.8,3.6,4.3,4.6,3.1,17,12,"Swenson, E."
ANT415Y1,Winter,2017,5,5,5,5,4.9,5,5,4.6,5,11,8,"Friesen, T."
ANT420H1,Winter,2017,3.7,3.9,4,4.1,4.2,3.7,4,2.6,4.1,21,10,"Coupland, G."
ANT427H1,Winter,2017,4.2,4.1,4.4,4.6,4.4,4,4.7,3.2,4.2,12,9,"Riskedahl, D."
ANT434H1,Winter,2017,4.3,4.4,4.1,3.9,4,3.9,4.1,3.5,4,21,13,"Gamble, J."
ANT435H1,Winter,2017,3.8,3.8,3.9,3.9,3.7,3.4,3.7,3.1,3.7,20,9,"Gamble, J."
ANT438H1,Winter,2017,3.9,4,4,3.8,3.7,3,4.3,3.2,3.6,22,12,"Badescu, I."
ANT445H1,Winter,2017,4.71,4.71,4.71,4.33,4.67,4.43,4.29,3.71,3.86,9,7,"Satsuka, S."
ANT462H1,Winter,2017,4.5,4.4,4.5,4.5,4.6,4.1,4.7,3.5,4.4,21,11,"Dave, P."
ANT474H1,Winter,2017,4.9,4.9,5,4.9,4.9,4.8,4.9,3.3,4.8,18,8,"Wardlow, H."
ANT475H1,Winter,2017,4.2,4.7,4.7,4.5,4.5,4.3,4,3.8,4.3,12,6,"Boddy, J."
ANT480Y1,Winter,2017,4.7,4.8,4.7,4.4,4.4,4.9,4.8,3.8,4.8,11,9,"Patton, A."
ANT485H1,Winter,2017,4.86,4.57,4.57,4.43,4.43,4.17,4.43,3.57,4.14,9,7,"Gagne, M."
ARH312Y1,Winter,2017,3,3.5,4.1,3.3,3.3,2.9,3.9,3.3,2.9,26,8,"Patton, A."
ARH360H1,Winter,2017,4.5,4.5,4.5,4.2,4,4,4.7,3.5,4.2,20,6,"Chazan, M."
ANT100Y1,Summer,2017,3.5,3.8,3,3.5,3.5,3,2.8,3.3,3.3,40,6,"Barac, V."
ANT253H1,Summer,2017,4.2,4.4,4.7,4.3,4.3,4.4,4.8,2.7,4.6,143,33,"Danesi, M."
ANT324H1,Summer,2017,4.5,4.8,4.3,4.3,4.2,4.4,4.3,3,4.3,37,13,"Satsuka, S."
ANT349H1,Summer,2018,4.4,4.8,4.7,4.3,4.4,4.4,4.3,3,4.5,34,12,"Visan, L."
ARH306Y1,Summer,2018,4.6,4.8,4.6,3.8,4,4.2,4.6,3.2,4.2,14,5,"Duffy, P."
ARH306Y1,Summer,2018,4.6,4.8,4.4,3.8,4,4.2,4.2,3.2,4.2,14,5,"Stewart, S."
ANT207H1,Summer,2018,4.8,4.8,4.9,4.5,4.7,4.7,4.9,3.7,4.3,49,17,"Clark, D."
ANT100Y1,Summer,2018,3.5,3.5,3.1,3,2.8,2.6,3.4,3.9,3,61,8,"Clark, D."
ANT253H1,Summer,2018,4.2,4.1,4.5,3.9,4,4.1,4.5,2.6,4.2,162,31,"Danesi, M."
ANT204H1,Summer,2018,4.3,4.3,4.5,3.6,3.8,4.1,4.9,3.3,3.9,54,14,"Clark, D."
ANT100Y1,Summer,2018,4.1,4.3,4.2,4,3.9,3.6,4.2,3.6,3.9,67,10,"Lehman, S."
ANT324H1,Summer,2018,4.2,4.5,4.3,4.3,4.3,4.3,4.4,3.1,4.1,42,16,"Satsuka, S."
ANT204H1,Summer,2017,4.7,4.6,4.8,4.3,4.3,4.6,4.8,3.6,4.7,47,12,"Clark, D."
ANT346H1,Summer,2017,3.8,4,4.3,3.4,3.8,3.7,4.3,3.4,3.6,58,17,"Clark, D."
ARH306Y1,Summer,2017,4.7,4.8,5,4.5,4.5,4.5,4.7,3.3,4.7,11,6,"Duffy, P."
