course,instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,num_invited,num_responded
ANT370H1,Kristin Bright,Fall,2016,4.4,4.4,4.6,4.1,4.3,4.2,4.7,3.5,4.2,40,21
ANT374H1,Tania Li,Fall,2016,4.5,4.6,4.6,4.3,4.1,4.4,4.4,3.5,4.2,41,19
ANT378H1,Jesook Song,Fall,2016,3.6,3.9,3.9,4.1,4,3.7,3.8,2.9,3.9,24,8
ANT384H1,Krista Maxwell,Fall,2016,4.5,4.8,4.1,4.1,4,4.2,4.3,3.9,4,15,10
ANT416H1,Edward Swenson,Fall,2016,4.3,4.7,4.7,4.5,4.5,4.4,4.7,3.8,4,23,12
ANT441H1,Kristin Bright,Fall,2016,4.9,4.9,4.6,4.9,4.8,4.8,5,3.6,4.6,22,13
ANT452H1,Michael Levin,Fall,2016,4.6,5,4.2,4.6,4.8,4.3,4.2,3.4,4.6,15,5
ANT458H1,Krista Maxwell,Fall,2016,5,5,4.6,4.8,5,4.8,4.8,4,5,6,5
ANT476H1,Janice Boddy,Fall,2016,5,4.8,4.8,4.3,4,4.7,4.5,3.8,4.5,13,6
ANT481H1,Julia Gamble,Fall,2016,3.8,4.4,4.5,4.2,4.3,3.7,4.3,3.8,3.7,16,12
ANT484H1,Atreyee Majumder,Fall,2016,4.3,4.3,4.4,3.7,3.7,3.5,4.3,3.9,3.7,14,7
ARH305H1,Gary Coupland,Fall,2016,4.3,4.5,4.5,4.3,4.1,4.1,4.3,3.4,3.9,31,9
ARH309H1,Justin Jennings,Fall,2016,4.5,4.6,4.6,4.2,4.3,4.1,4.5,2.7,4.1,29,11
ANT100Y1,T Friesen,Winter,2017,3.5,4.1,3.6,3.1,3.1,3.5,3.8,2.2,3.3,49,10
ANT100Y1,Ivan Kalmar,Winter,2017,3.5,4.1,3.8,3.1,3.1,3.5,4,2.2,3.3,49,10
ANT100Y1,Shawn Lehman,Winter,2017,3.5,4.1,3.8,3.1,3.1,3.5,4,2.2,3.3,49,10
ANT100Y1,T Friesen,Winter,2017,3.67,3.91,3.53,3.51,3.64,3.44,3.37,2.89,3.58,806,309
ANT100Y1,Ivan Kalmar,Winter,2017,3.67,3.91,4.2,3.51,3.64,3.44,4.23,2.89,3.58,806,309
ANT100Y1,Shawn Lehman,Winter,2017,3.67,3.91,4.21,3.51,3.64,3.44,4.32,2.89,3.58,806,309
ANT200Y1,Anna Patton,Winter,2017,3.9,4,4,3.9,3.8,3.6,3.7,3.3,3.7,124,45
ANT203Y1,T. Viola,Winter,2017,3.8,3.7,3.2,3.1,2.9,2.9,3.5,3.3,2.9,137,55
ANT204H1,Kristin Bright,Winter,2017,3.4,3.4,3.1,3.3,3.4,2.9,3.5,3.8,2.8,268,85
ANT253H1,Marcel Danesi,Winter,2017,3.6,3.73,3.85,3.53,3.62,3.42,4.35,2.77,3.73,447,107
ANT314H1,Gary Coupland,Winter,2017,3.9,4,4,3.9,3.9,3.3,4,2.9,3.6,24,8
ANT327H1,Bonnie McElhinny,Winter,2017,4.2,4.4,3.9,3.8,4,3.4,3.8,3.9,3.7,35,11
ANT333Y1,Shawn Lehman,Winter,2017,4.3,4.4,4,3.8,3.7,3.8,4.7,3.3,4.2,27,16
ANT336H1,T. Viola,Winter,2017,3.8,3.9,3.9,3.4,3.3,3.6,4.1,3.4,3.1,33,15
ANT341H1,Wen-Ching Sung,Winter,2017,4.1,4.5,4.3,4.2,4.1,4.1,4.3,3.1,4.2,43,23
ANT345H1,Kristin Bright,Winter,2017,4.1,4,4.1,3.9,3.6,3.9,4.4,4.1,3.6,58,16
ANT356H1,Gillian Gillison,Winter,2017,4,3.8,3,3.1,3.4,3.2,3.2,3,3.2,50,27
ANT371H1,Julia Gamble,Winter,2017,3.8,4,4.3,3.8,3.9,3.9,4.2,3,3.7,64,25
ANT380H1,Shiho Satsuka,Winter,2017,4.6,4.7,4.3,4.4,4.3,4.4,4.6,3.9,4.7,16,11
ANT390H1,Atreyee Majumder,Winter,2017,5,4.6,4.8,4.6,4.6,4.6,4.2,3.6,4.6,10,5
ANT411H1,Edward Swenson,Winter,2017,4.3,4,3.8,3.7,3.8,3.6,4.3,4.6,3.1,17,12
ANT415Y1,T Friesen,Winter,2017,5,5,5,5,4.9,5,5,4.6,5,11,8
ANT420H1,Gary Coupland,Winter,2017,3.7,3.9,4,4.1,4.2,3.7,4,2.6,4.1,21,10
ANT427H1,Diane Riskedahl,Winter,2017,4.2,4.1,4.4,4.6,4.4,4,4.7,3.2,4.2,12,9
ANT434H1,Julia Gamble,Winter,2017,4.3,4.4,4.1,3.9,4,3.9,4.1,3.5,4,21,13
ANT435H1,Julia Gamble,Winter,2017,3.8,3.8,3.9,3.9,3.7,3.4,3.7,3.1,3.7,20,9
ANT438H1,Iulia Badescu,Winter,2017,3.9,4,4,3.8,3.7,3,4.3,3.2,3.6,22,12
ANT445H1,Shiho Satsuka,Winter,2017,4.71,4.71,4.71,4.33,4.67,4.43,4.29,3.71,3.86,9,7
ANT462H1,Prakruti Dave,Winter,2017,4.5,4.4,4.5,4.5,4.6,4.1,4.7,3.5,4.4,21,11
ANT474H1,Holly Wardlow,Winter,2017,4.9,4.9,5,4.9,4.9,4.8,4.9,3.3,4.8,18,8
ANT475H1,Janice Boddy,Winter,2017,4.2,4.7,4.7,4.5,4.5,4.3,4,3.8,4.3,12,6
ANT480Y1,Anna Patton,Winter,2017,4.7,4.8,4.7,4.4,4.4,4.9,4.8,3.8,4.8,11,9
ANT485H1,Mathew Gagne,Winter,2017,4.86,4.57,4.57,4.43,4.43,4.17,4.43,3.57,4.14,9,7
ARH312Y1,Anna Patton,Winter,2017,3,3.5,4.1,3.3,3.3,2.9,3.9,3.3,2.9,26,8
ARH360H1,Michael Chazan,Winter,2017,4.5,4.5,4.5,4.2,4,4,4.7,3.5,4.2,20,6
ANT100Y1,Victor Barac,Summer,2017,3.5,3.8,3,3.5,3.5,3,2.8,3.3,3.3,40,6
ANT253H1,Marcel Danesi,Summer,2017,4.2,4.4,4.7,4.3,4.3,4.4,4.8,2.7,4.6,143,33
ANT324H1,Shiho Satsuka,Summer,2017,4.5,4.8,4.3,4.3,4.2,4.4,4.3,3,4.3,37,13
ANT349H1,Laura Visan,Summer,2018,4.4,4.8,4.7,4.3,4.4,4.4,4.3,3,4.5,34,12
ARH306Y1,Paul Duffy,Summer,2018,4.6,4.8,4.6,3.8,4,4.2,4.6,3.2,4.2,14,5
ARH306Y1,Sarah Stewart,Summer,2018,4.6,4.8,4.4,3.8,4,4.2,4.2,3.2,4.2,14,5
ANT207H1,Dylan Clark,Summer,2018,4.8,4.8,4.9,4.5,4.7,4.7,4.9,3.7,4.3,49,17
ANT100Y1,Dylan Clark,Summer,2018,3.5,3.5,3.1,3,2.8,2.6,3.4,3.9,3,61,8
ANT253H1,Marcel Danesi,Summer,2018,4.2,4.1,4.5,3.9,4,4.1,4.5,2.6,4.2,162,31
ANT204H1,Dylan Clark,Summer,2018,4.3,4.3,4.5,3.6,3.8,4.1,4.9,3.3,3.9,54,14
ANT100Y1,Shawn Lehman,Summer,2018,4.1,4.3,4.2,4,3.9,3.6,4.2,3.6,3.9,67,10
ANT324H1,Shiho Satsuka,Summer,2018,4.2,4.5,4.3,4.3,4.3,4.3,4.4,3.1,4.1,42,16
ANT204H1,Dylan Clark,Summer,2017,4.7,4.6,4.8,4.3,4.3,4.6,4.8,3.6,4.7,47,12
ANT346H1,Dylan Clark,Summer,2017,3.8,4,4.3,3.4,3.8,3.7,4.3,3.4,3.6,58,17
ARH306Y1,Paul Duffy,Summer,2017,4.7,4.8,5,4.5,4.5,4.5,4.7,3.3,4.7,11,6
ARH306Y1,Sarah Stewart,Summer,2017,4.7,4.8,4.8,4.5,4.5,4.5,4.8,3.3,4.7,11,6
ANT437H1,T. Viola,Summer,2017,4.9,5,4.9,4.9,4.8,4.8,4.8,3.1,4.6,9,9
ANT343H1,Kevin Nixon,Summer,2017,4.3,4,3.5,3.5,3.7,3.3,4.7,4.3,4.2,23,6
ANT396Y0,Anne Urbancic,Summer,2017,5,5,4.9,5,5,4.9,5,2.7,5,28,7
JAH391Y0,Ivan Kalmar,Summer,2017,3.6,3.5,3.4,3.5,3.7,3.1,4,3.1,2.5,25,11
ANT207H1,Jessica Taylor,Summer,2017,4.2,4.2,4.3,3.8,3.8,3.8,4.2,3.2,3.7,53,21
ANT204H1,Diane Riskedahl,Summer,2014,3.3,3.5,3.8,3.6,3.3,3.3,3.9,3.3,3.2,43,14
ANT366H1,Daniella Jofre,Summer,2014,2,1.8,1.9,1.9,2.2,1.8,2.4,3.3,1.9,29,15
ANT348H1,Krista Maxwell,Summer,2014,4.3,4.3,4.3,4,4,3.9,4,4.1,3.9,21,14
ANT346H1,Aaron Kappeler,Summer,2014,4.5,4.6,4.9,4.2,4.4,4.6,4.8,3.1,4.7,67,25
ARH306Y1,Edward Banning,Summer,2014,4.4,4.7,4.8,4.6,4.4,4.8,4.8,3.6,4.8,22,9
ARH306Y1,Sarah Stewart,Summer,2014,4.4,4.7,4.8,4.6,4.4,4.8,4.8,3.6,4.8,22,9
ANT207H1,James Stinson,Summer,2014,4.2,4.3,4.1,3.6,3.8,3.8,3.9,3.1,4.2,60,25
ANT100Y1,Shawn Lehman,Summer,2014,3.2,3.2,3.3,3.1,2.8,2.8,3.7,3.2,3.2,53,12
ANT100Y1,James Stinson,Summer,2014,3.2,3.5,3.2,2.8,2.6,2.8,3.4,2.8,2.9,53,16
ANT200Y1,Emma Humphrey,Summer,2014,4,4.1,4.4,3.8,4,4.3,4.2,3,4.1,38,12
ANT253H1,Marcel Danesi,Summer,2014,3.2,3.3,3.6,2.7,2.8,3,4.1,2.4,3.6,108,27
ANT330Y0,David Begun,Summer,2014,4.5,4.5,4.7,4.7,4.7,4.2,4.5,2.8,4.5,8,6
ANT343H1,Dylan Clark,Summer,2014,4.6,4.5,4.2,3.8,3.9,4,4.6,3.8,4.1,31,16
ANT390H1,Eugenia Kisin,Winter,2016,4.6,4.7,4.7,4.6,4.5,4.6,4.7,3,4.8,32,20
ANT435H1,Laura Sikstrom,Summer,2015,4.2,4,4,3.7,3.8,3.8,4,4.2,3.9,18,9
ANT346H1,Aaron Kappeler,Summer,2015,5,4.9,5,4.7,4.8,5,5,3.3,5,46,22
ANT204H1,Jessica Taylor,Summer,2015,3.3,3.4,3.8,3.3,3.7,3.3,4.2,2.8,3.2,53,9
ARH306Y1,Edward Banning,Summer,2015,4.2,4.6,3.4,3.7,3.8,3.4,3.4,3.9,3.7,16,9
ARH306Y1,Sarah Stewart,Summer,2015,4.2,4.6,4.2,3.7,3.8,3.4,4.3,3.9,3.7,16,9
ANT207H1,Jude Fokwang,Summer,2015,3.8,3.9,4.1,3.7,3.9,3.8,4.1,3.2,3.8,50,24
ANT364H1,Dylan Clark,Summer,2015,3.7,3.6,3.5,3.1,3.2,2.9,3.9,3.8,2.5,42,14
ANT345H1,Laura Sikstrom,Summer,2015,4.9,4.7,4.7,4.4,4.1,4.1,4.7,3.4,4.6,33,7
ANT100Y1,Peter Rudiak-Gould,Summer,2015,4.1,3.9,4.4,3.6,3.7,3.9,4.5,3.2,4,55,27
ANT100Y1,Shawn Lehman,Summer,2015,3.9,4.1,3.7,3.3,3.4,3.6,4.4,3,3.9,64,16
ANT200Y1,Michael Gregg,Summer,2015,4.8,4.8,4.9,4.9,4.7,4.6,4.7,3.1,4.7,25,10
ANT253H1,Marcel Danesi,Summer,2015,4.2,4.2,4.6,4.1,4.4,4.1,4.6,2.8,4.5,105,24
ANT333Y1,Michael Reid,Summer,2015,4.8,5,5,4.8,4.8,5,5,3.1,4.9,22,9
ANT100Y1,T Friesen,Winter,2014,3.5,3.7,2.8,3.5,3.7,3,3.2,2.8,3.2,17,9
ANT100Y1,Ivan Kalmar,Winter,2014,3.5,3.7,3.5,3.5,3.7,3,4,2.8,3.2,17,9
ANT100Y1,Shawn Lehman,Winter,2014,3.5,3.7,3.3,3.5,3.7,3,4.3,2.8,3.2,17,9
ANT100Y1,James Stinson,Winter,2014,3.5,3.7,3.2,3.5,3.7,3,3.5,2.8,3.2,17,9
ANT100Y1,T Friesen,Winter,2014,3.3,3.7,3.1,3.3,3.3,3.1,3.1,2.7,3.4,810,311
ANT100Y1,Ivan Kalmar,Winter,2014,3.3,3.7,4.2,3.3,3.3,3.1,4.3,2.7,3.4,810,311
ANT100Y1,Shawn Lehman,Winter,2014,3.3,3.7,4.3,3.3,3.3,3.1,4.4,2.7,3.4,810,311
ANT100Y1,James Stinson,Winter,2014,3.3,3.7,3.1,3.3,3.3,3.1,3.1,2.7,3.4,810,311
ANT200Y1,Michael Chazan,Winter,2014,3.5,4,3.3,3.8,3.8,3.4,3.7,2.9,3.4,258,99
ANT203Y1,Amber MacKenzie,Winter,2014,4.4,4.6,4.6,4.2,4.2,4.2,4.5,2.9,4.5,201,77
ANT207H1,Janice Boddy,Winter,2014,3.2,3.5,3.1,3.3,3.4,3,3.2,3.1,3.1,269,103
ANT208H1,Christopher Little,Winter,2014,3.1,3.3,2.4,2.9,3,2.5,2.3,3.1,2.7,306,110
ANT322H1,Marcel Danesi,Winter,2014,3.5,3.6,4,3,2.9,3.3,4.5,2.8,3.9,287,98
ANT347Y1,Sharon Kelly,Winter,2014,3.8,3.9,4.3,4,4,3.7,4.5,3.3,3.7,63,33
ANT356H1,Mahiye Dagtas,Winter,2014,3.3,3.6,3,3.4,3.6,3,2.9,3.5,2.8,60,23
ANT369H1,Victor Barac,Winter,2014,3.6,3.7,4,3.8,3.8,3.4,3.6,2.9,3.8,68,25
ANT370H1,Holly Wardlow,Winter,2014,4.2,4.5,4.3,3.9,3.9,3.9,4.3,3.3,4,72,31
ANT372H1,Cara Krmpotich,Winter,2014,4.4,4.6,4.8,4.4,4.4,4.3,4.7,2.8,4.5,66,35
ANT380H1,Shiho Satsuka,Winter,2014,3.2,3.4,2.8,3.7,3.9,2.7,3.2,3.9,2.8,24,9
ANT409H1,Paul Duffy,Winter,2014,4.2,4.1,4.2,4.3,4.1,4,4.1,3.1,4.2,23,10
ANT410H1,David Bilton,Winter,2014,4.3,4.5,4.7,4.2,4.3,4.3,4.5,3.7,4,18,6
ANT411H1,Edward Swenson,Winter,2014,4.6,4.4,4.2,4,4.2,4,4.6,4.3,4.2,22,12
