dept,course,instructor,abbrev_instructor
ANT,ANT253H1,Marcel Danesi,"Danesi, M."
ANT,ANT330Y0,David Begun,"Begun, D."
ANT,ANT343H1,Dylan Clark,"Clark, D."
ANT,ANT390H1,Eugenia Kisin,"Kisin, E."
ANT,ANT435H1,Laura Sikstrom,"Sikstrom, L."
ANT,ANT346H1,Aaron Kappeler,"Kappeler, A."
ANT,ANT204H1,Jessica Taylor,"Taylor, J."
ARH,ARH306Y1,Edward Banning,"Banning, E."
ARH,ARH306Y1,Sarah Stewart,"Stewart, S."
ANT,ANT207H1,Jude Fokwang,"Fokwang, J."
ANT,ANT364H1,Dylan Clark,"Clark, D."
ANT,ANT345H1,Laura Sikstrom,"Sikstrom, L."
ANT,ANT100Y1,Peter Rudiak-Gould,"Rudiak-Gould, P."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT200Y1,Michael Gregg,"Gregg, M."
ANT,ANT253H1,Marcel Danesi,"Danesi, M."
ANT,ANT333Y1,Michael Reid,"Reid, M."
ANT,ANT100Y1,T Friesen,"Friesen, T."
ANT,ANT100Y1,Ivan Kalmar,"Kalmar, I."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT100Y1,James Stinson,"Stinson, J."
ANT,ANT100Y1,T Friesen,"Friesen, T."
ANT,ANT100Y1,Ivan Kalmar,"Kalmar, I."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT100Y1,James Stinson,"Stinson, J."
ANT,ANT200Y1,Michael Chazan,"Chazan, M."
ANT,ANT203Y1,Amber MacKenzie,"MacKenzie, A."
ANT,ANT207H1,Janice Boddy,"Boddy, J."
ANT,ANT208H1,Christopher Little,"Little, C."
ANT,ANT322H1,Marcel Danesi,"Danesi, M."
ANT,ANT347Y1,Sharon Kelly,"Kelly, S."
ANT,ANT356H1,Mahiye Dagtas,"Dagtas, M."
ANT,ANT369H1,Victor Barac,"Barac, V."
ANT,ANT370H1,Holly Wardlow,"Wardlow, H."
ANT,ANT372H1,Cara Krmpotich,"Krmpotich, C."
ANT,ANT380H1,Shiho Satsuka,"Satsuka, S."
ANT,ANT409H1,Paul Duffy,"Duffy, P."
ANT,ANT410H1,David Bilton,"Bilton, D."
ANT,ANT411H1,Edward Swenson,"Swenson, E."
ANT,ANT420H1,John Creese,"Creese, J."
ANT,ANT425H1,Hy Luong,"Luong, H."
ANT,ANT434H1,Susan Pfeiffer,"Pfeiffer, S."
ANT,ANT435H1,Daniel Sellen,"Sellen, D."
ANT,ANT436H1,Shawn Lehman,"Lehman, S."
ANT,ANT460H1,Holly Wardlow,"Wardlow, H."
ANT,ANT472H1,Shiho Satsuka,"Satsuka, S."
ANT,ANT484H1,Janice Boddy,"Boddy, J."
ARH,ARH312Y1,Dana Millson,"Millson, D."
ARH,ARH360H1,Sarah Stewart,"Stewart, S."
ANT,ANT204H1,Prakruti Dave,"Dave, P."
ANT,ANT253H1,Marcel Danesi,"Danesi, M."
ANT,ANT320H1,Edward Swenson,"Swenson, E."
ANT,ANT324H1,Shiho Satsuka,"Satsuka, S."
ANT,ANT329H1,Hy Luong,"Luong, H."
ANT,ANT334H1,Susan Pfeiffer,"Pfeiffer, S."
ANT,ANT335Y1,David Begun,"Begun, D."
ANT,ANT336H1,Susan Pfeiffer,"Pfeiffer, S."
ANT,ANT341H1,Yiching Wu,"Wu, Y."
ANT,ANT347Y1,Joshua Barker,"Barker, J."
ANT,ANT348H1,Krista Maxwell,"Maxwell, K."
ANT,ANT374H1,Tania Li,"Li, T."
ANT,ANT407H1,Matthew Mosher,"Mosher, M."
ANT,ANT426H1,Ivan Kalmar,"Kalmar, I."
ANT,ANT430H1,Shawn Lehman,"Lehman, S."
ANT,ANT452H1,Michael Levin,"Levin, M."
ANT,ANT462H1,Prakruti Dave,"Dave, P."
ANT,ANT473H1,Tania Li,"Li, T."
ANT,ANT475H1,Valentina Napolitano,"Napolitano, V."
ANT,ANT477H1,Jesook Song,"Song, J."
ANT,ANT480H1,Janice Boddy,"Boddy, J."
ANT,ANT486H1,Krista Maxwell,"Maxwell, K."
ARH,ARH305H1,Gary Coupland,"Coupland, G."
ARH,ARH309H1,Justin Jennings,"Jennings, J."
ARH,ARH482H1,Peter Bikoulis,"Bikoulis, P."
JAL,JAL355H1,Diane Riskedahl,"Riskedahl, D."
